11:05:08 30-07-2019,151
11:05:09 30-07-2019,151
11:05:09 30-07-2019,151
11:05:10 30-07-2019,151
11:05:10 30-07-2019,151
11:05:10 30-07-2019,151
11:05:10 30-07-2019,151
11:05:10 30-07-2019,151
11:05:11 30-07-2019,151
11:05:11 30-07-2019,82
11:05:12 30-07-2019,151
11:05:12 30-07-2019,151
11:05:12 30-07-2019,151
11:05:12 30-07-2019,151
11:05:12 30-07-2019,151
11:05:13 30-07-2019,151
11:05:13 30-07-2019,151
11:05:13 30-07-2019,151
11:05:13 30-07-2019,151
11:05:13 30-07-2019,151
11:05:14 30-07-2019,151
11:05:14 30-07-2019,178
11:05:16 30-07-2019,151
11:05:16 30-07-2019,194
11:05:16 30-07-2019,82
11:05:16 30-07-2019,45
11:05:17 30-07-2019,45
11:05:18 30-07-2019,14
11:05:19 30-07-2019,14
11:05:20 30-07-2019,151
11:05:21 30-07-2019,151
11:05:21 30-07-2019,151
11:05:21 30-07-2019,151
11:05:22 30-07-2019,151
11:05:23 30-07-2019,151
11:05:23 30-07-2019,30
11:05:23 30-07-2019,151
11:05:24 30-07-2019,151
11:05:24 30-07-2019,14
11:05:24 30-07-2019,358
11:05:25 30-07-2019,151
11:05:25 30-07-2019,151
11:05:26 30-07-2019,151
11:05:26 30-07-2019,151
11:05:26 30-07-2019,151
11:05:26 30-07-2019,151
11:05:26 30-07-2019,14
11:05:27 30-07-2019,14
11:05:27 30-07-2019,14
11:05:27 30-07-2019,30
11:05:27 30-07-2019,30
11:05:28 30-07-2019,14
11:05:28 30-07-2019,30
11:05:28 30-07-2019,45
11:05:28 30-07-2019,45
11:05:28 30-07-2019,45
11:05:29 30-07-2019,45
11:05:29 30-07-2019,61
11:05:29 30-07-2019,61
11:05:30 30-07-2019,61
11:05:31 30-07-2019,88
11:05:32 30-07-2019,88
11:05:32 30-07-2019,284
11:05:32 30-07-2019,225
11:05:33 30-07-2019,88
11:05:33 30-07-2019,88
11:05:33 30-07-2019,88
11:05:34 30-07-2019,151
11:05:34 30-07-2019,151
11:05:34 30-07-2019,88
11:05:34 30-07-2019,104
11:05:34 30-07-2019,88
11:05:35 30-07-2019,88
11:05:35 30-07-2019,45
11:05:35 30-07-2019,82
11:05:35 30-07-2019,88
11:05:35 30-07-2019,61
11:05:36 30-07-2019,88
11:05:36 30-07-2019,82
11:05:36 30-07-2019,82
11:05:36 30-07-2019,135
11:05:36 30-07-2019,61
11:05:37 30-07-2019,61
11:05:37 30-07-2019,151
11:05:37 30-07-2019,30
11:05:38 30-07-2019,300
11:05:38 30-07-2019,61
11:05:38 30-07-2019,61
11:05:39 30-07-2019,30
11:05:41 30-07-2019,88
11:05:41 30-07-2019,88
11:05:41 30-07-2019,88
11:05:41 30-07-2019,104
11:05:42 30-07-2019,120
11:05:42 30-07-2019,120
11:05:42 30-07-2019,120
11:05:42 30-07-2019,120
11:05:42 30-07-2019,104
11:05:44 30-07-2019,30
11:05:44 30-07-2019,104
